CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL,Stocuri,Creante,Casa si conturi la banci,Datorii ,Cifra de afaceri neta,Venituri totale,Cheltuieli totale,Profit net,Pierdere neta,Numar mediu de salariati,Denumire,Cod_inmatriculare,EUID,Stare_firma,Adresa
2767230,5510,998534,1030989,5656,461308,564025,486154,1851823,1857255,1425334,407715,0,,FANTESY SRL,J01/1044/1992,ROONRC.J01/1044/1992,"1048,2080","Municipiul Alba Iulia, Calea MOTILOR, Nr. 3, Bloc S1G, Apartament 2, Județ Alba, Cod poștal 2500"
21101415,5510,5594238,4021198,130171,3847541,43486,4757161,3547551,4281404,3797733,447879,0,33,ALLEGRIA RESORT SRL,J01/213/2007,ROONRC.J01/213/2007,"1048,2080","Municipiul Alba Iulia, P-ţa IULIU MANIU, Nr. 20, Județ Alba, Cod poștal 510111"
21101415,5510,1799752,312744,115657,9675,187412,412598,2973582,3663013,2938378,667178,0,28,ALLEGRIA RESORT SRL,J01/213/2007,ROONRC.J01/213/2007,"1048,2080","Municipiul Alba Iulia, P-ţa IULIU MANIU, Nr. 20, Județ Alba, Cod poștal 510111"
21101415,5510,6936859,1077317,328667,677618,71032,2578857,3972479,4605937,4158972,409154,0,34,ALLEGRIA RESORT SRL,J01/213/2007,ROONRC.J01/213/2007,"1048,2080","Municipiul Alba Iulia, P-ţa IULIU MANIU, Nr. 20, Județ Alba, Cod poștal 510111"
21101415,5510,7061857,145429,82300,46403,16726,2532202,2736850,3511354,3399726,85787,0,32,ALLEGRIA RESORT SRL,J01/213/2007,ROONRC.J01/213/2007,"1048,2080","Municipiul Alba Iulia, P-ţa IULIU MANIU, Nr. 20, Județ Alba, Cod poștal 510111"
35820011,5510,838570,1979331,68443,1900241,10647,1825503,3429511,3646697,3245655,366757,0,43,CORINT HOTEL MEDIEVAL SRL,J1/292/2016,ROONRC.J1/292/2016,1048,"Municipiul Alba Iulia, Str. MILITARI, Nr. 2, Județ Alba, Cod poștal 510009"
35820011,5510,767208,2088759,87085,1785213,216461,2145149,1404403,1571906,1847921,0,283853,9,CORINT HOTEL MEDIEVAL SRL,J1/292/2016,ROONRC.J1/292/2016,1048,"Municipiul Alba Iulia, Str. MILITARI, Nr. 2, Județ Alba, Cod poștal 510009"
7688331,5510,8556311,2682740,38085,1701207,943448,2273261,4642102,4649096,3991893,610680,0,27,CETATEA APUSENI SA,J01/547/1995,ROONRC.J01/547/1995,"1048,2070,2080","Municipiul Alba Iulia, Str. UNIRII, Nr. 3, Județ Alba, Cod poștal 2500"
7688331,5510,8573067,1570799,23418,901080,646301,1341994,3521865,3525560,3161346,314067,0,25,CETATEA APUSENI SA,J01/547/1995,ROONRC.J01/547/1995,"1048,2070,2080","Municipiul Alba Iulia, Str. UNIRII, Nr. 3, Județ Alba, Cod poștal 2500"
7688331,5510,8604907,2330040,30465,1617336,682239,1749485,4190130,4199327,3727045,429832,0,30,CETATEA APUSENI SA,J01/547/1995,ROONRC.J01/547/1995,"1048,2070,2080","Municipiul Alba Iulia, Str. UNIRII, Nr. 3, Județ Alba, Cod poștal 2500"
